id,name,stock
3961,Steel Chair Licensed,383
5616,Concrete Chips Used,405
893,Cotton Mouse Ergonomic,108
3409,Frozen Chair Generic,389
5917,Cotton Hat For repair,282
2157,Wooden Pizza Fantastic,364
5453,Metal Mouse Gently Used,401
5710,Rubber Salad Used,350
3912,Soft Chips Handmade,6
3217,Concrete Chair Generic,173
2154,Wooden Fish Fantastic,332
922,Granite Shirt Ergonomic,21
1037,Frozen Mouse Ergonomic,101
5487,Soft Soap Gently Used,414
2082,Fresh Fish Incredible,309
1943,Plastic Sausages Incredible,363
3411,Frozen Computer Generic,78
2485,Cotton Hat Practical,81
3953,Frozen Chicken Handmade,99
5141,Granite Mouse New,358
4326,Cotton Bike Refined,336
5743,Soft Ball Used,262
142,Granite Salad Small,210
3178,Steel Shirt Generic,460
3110,Soft Towels Awesome,46
4397,Metal Mouse Refined,100
4662,Metal Bike Unbranded,192
2767,Granite Ball Sleek,321
3695,Frozen Sausages Handcrafted,319
219,Fresh Computer Small,452
5428,Rubber Keyboard Gently Used,104
4056,Plastic Chips Licensed,33
5608,Concrete Tuna Used,45
4021,Concrete Hat Licensed,419
3282,Cotton Fish Generic,347
510,Frozen Bike Medium,217
2151,Wooden Soap Fantastic,4
692,Rubber Bacon Giant,174
5873,Concrete Chicken For repair,380
4370,Rubber Car Refined,83
3957,Frozen Pizza Handmade,373
3121,Fresh Chair Awesome,455
3829,Granite Hat Handmade,449
428,Rubber Bacon Medium,143
3209,Wooden Chicken Generic,93
3609,Metal Pants Handcrafted,253
1565,Frozen Mouse Intelligent,13
2304,Metal Chips Fantastic,51
3466,Wooden Shirt Handcrafted,211
4753,Steel Chair Tasty,18
5805,Frozen Pizza Used,159
2791,Rubber Ball Sleek,204
1352,Wooden Gloves Intelligent,357
642,Cotton Fish Giant,461
3810,Cotton Fish Handmade,440
2937,Wooden Pants Awesome,132
3517,Plastic Hat Handcrafted,271
5888,Plastic Gloves For repair,356
5333,Concrete Mouse Gently Used,472
2371,Frozen Cheese Fantastic,428
3910,Soft Salad Handmade,418
1160,Cotton Gloves Rustic,280
4067,Cotton Table Licensed,295
1296,Fresh Chips Rustic,418
2440,Concrete Tuna Practical,48
5782,Fresh Salad Used,370
6032,Fresh Gloves For repair,54
